
Frequency	# of Samples Observed In
5c31fb91e683ac20536e60bed165db8c	55	1
fc59c52e7ed40eb9c840d2e42444909a	55	1
56268ff32df94994f586de41e56afcda	54	1
af52cf45755f8ed6093f209a8f3f1b6c	54	1
2ff3018db466d05ce206cf3922169397	54	1
64997c35699f8a6c4c725504eb87f5c1	54	1
15f894a26e8a0cddfaab4ba693139708	54	1
ef064d8a7b011a707ba982413b32fde2	53	1
8f8a3c75b6895dbaaf5deec219309663	53	1
a12c9ba1975a4354b5fc44dad84ff761	53	1
5efc58fa3cb77bc93779d50c10d45070	53	2
cd82763bc2e77d797f0a3fa5c5ec6804	53	1
7d78d1db30adc605dd96429336f22aae	53	1
b97e7c9a2ef2ea05c79e31901d283bae	52	1
88d803ccc853a338bdc7ad1e899005cf	52	1
61a0958d401bcfbb3862941b431e4101	52	1
1eba291562aa00e5f9fbdf65f15ca2a8	52	1
88008821da7d66f3518e765554aac150	52	1
9f0d86b5845c683befefe3a0a997d55a	52	1
17f5cf806ae7fe7aefb3d76517ff9c45	52	1
e9cebc4a5fc18f0fbe067fd6239079a7	52	1
e0b165b19841fa06abe6260dc488d6a4	52	1
4d5a70961ff8625663fe8f55dab00a42	51	1
f05f56726e69335ca349e12d42d2f2b0	51	1
e8cfbddc10f53df9a2ce6290327b2b38	51	1
406bda2fbc72f18f0f21d57871f5ca09	51	1
3cd0d1f80c7a3969b14f7b913ea7bfc2	51	1
d633ae2e2ea9d6219a9afad964eb18eb	50	1
99859a34d5a18653367af4012c1cc2d9	50	1
b714824ec75cf61ac11396223bdfea0f	50	1
445c17ed8fa7a452a5461d250581e57e	50	1
95959652efea5d934f28d99f324fa068	50	1
9c59838c4c3c1bfce2bc1761b8d57814	50	1
330400e35075337b052606d9098885bc	49	1
15df6e4023af902f0b92c27cea112aec	49	1
2ea4197a4d60bc119473a53e2c6fdf62	49	1
1af1f6441cff5b0e4d520c4db124ec7f	49	1
53acbfbcc9b51a83a062141a277b1174	49	1
ef13bdbc384d20bde4cf9ab36e7eb4c8	48	1
20a28a5f2a65df3c45189d6ebf77c412	48	1
32094152f29be8fb9053d216c0a2e25a	48	1
26837270bb71717951880ec2a0238720	48	1
f6532b4255e7acc8dee1accffc1d2329	46	1
da04bca72569edbddcf666a97bad8dbd	46	1
7e11851ff762ef33871b4ba39745f0b8	46	1
b4f022ad7af504152ab3c57e3fa98cc4	46	1
8fd08f9efcf16bae47c7eade0022016a	46	1
01ecb2775e589a4a22a4347db4b774f0	46	1
17139382422dc81769c74be442dfa8ad	46	1
b10435a86c84357b08168393ce88d92b	46	1
680c06c71f57c14c599a778062c6b188	46	1
e12feeae4f3c342bd12ec065319d93cd	45	1
e9b7344ee3a3991bf4e01e0cb87b1f7b	45	1
1da3d65300a6f437af56db05130fc8a1	45	1
662c941989a33f6fa0450b211378acc7	45	1
4acaf3a7668f76fe27149cd8f6059508	45	1
45d81dce0da9122c34c83e095c63b540	45	1
80e408cd801973e8644e4f983e0f6152	45	1
ae6484eafec9e73d78095b7cbd51272b	45	1
d2c390c7cef517e3ba81ed1ca5afe3b4	45	1
7a54b3ea4a07d31420e3d3d45c363fc6	45	1
fab7b725d7ba40800fdc1e32f22c7e18	44	1
74ecd4936b8cd88f0a1f4be88b2b6b8d	44	1
8e50711a387e44d391c997e41bd2a4a3	44	1
068a36235f2cbf1a492bcfaa9806a4c4	44	1
d9f8e2eff7c2a8ab7f3dfe5d9bb3cd95	44	1
f6219d169513258690fcabd2c7b5475c	43	1
9ea9cc322308af02f79803ef81e10c7c	43	1
b38a0872c841439303575c9cd2bf543e	43	1
bee51cbb8c84d9af8fa3f6dcb247bb31	43	1
dd64101fbd98df0fc76bf108039cf150	42	1
30df934d50a18993f515ab27ee1a4955	42	1
c17307e21b06b4825c130f84e93b6786	42	1
6e2426d68993f7ed02e188a48722f6b1	42	1
a54e200107ae16092c7aa493250f4f55	41	1
060ba4fc70f2c6b617596e42bc051c5c	41	1
99de8d48644d86769898b65a099dfbd9	41	1
1fc2ab015df00b84200e0e45f06835c1	41	1
ee6c066077c1873fc9ad29ec73fe3486	40	1
1af3ece2b97f07b205c114cac8e13ce8	40	1
401af6a96948b6917967bac57a4cd86d	40	1
a4886e43aed7b10ccd69cd1ee1d4b8b1	40	1
a2d5398d2326bc750805a9fc323be065	40	1
d7f998ba3e8419f844580bb12bd4acb6	40	1
e4b308678c6669c9604710c414e70ea6	39	1
ef477cae1b8c9568d2a2dff38baf6f49	39	1
b89e534a65143496b3b033c331dfc832	39	1
0e8b32b11163a683f45cf991f33e9d47	39	1
f9c5ab6979f0fdb03b1307d6b3271e97	39	1
b84c29ff0b516e002c2071ea52b07b3e	39	1
2dc19e70ccb67d7fb000f452548f618e	39	1
dba9081cd046c85a81799ec809e682dd	39	1
1f460f0fb71534bdcd1526fa730ca474	38	2
ea439e0898c1eadab0bdb79ff5424a5c	38	1
3efc203f2b286fb624b4c70a2455aff3	38	1
c1104f13053113d5991f1a3039abef72	38	1
70e98600145dac8f507d8b1665d06ac8	37	2
4a6bb2bf671b3a1f034eb98aa0029a0d	37	1
a50f4830270015cb761d73330de1de4d	37	1
be67f476a3e03d8d5b4fd99ef78eebd4	37	1
fe4c8f252f2499b0431f562924a111f5	36	1
a4defb45f865bbb85e68f6efee8b42d0	36	1
d47a4d566b543990d6b916ba974d190d	36	1
5c1f56bca04c1e24d8062bad1de38d72	36	1
e8d491a25ca0d090df8cc88891b9a9e7	35	1
e2b09d5eeb5ae4c97abaafb0ad63b0ae	35	1
29daf1ca59437f53e4f18a5322492836	35	1
4d69fd2142749f7150afa7971c99b6bc	35	1
ddc281b4276243999d7e1cbf0853e1c5	35	1
25396502273904684bb78ba35a27f8c3	35	1
e7f920ed7665784ad9ecda4444b03e75	35	1
5777089e99f3f19ef2325b6a0570eb0c	35	1
09c9513d36651c8e47905ed987ce7714	35	1
fc9d59570cb271cdcb3f5f0c6752bcfa	35	1
de0c8f555c19d848dae28ed4e71ab0dc	34	1
c1cd6d64d978c6d76df2d26779fbc34b	34	1
30c05f10746fcc7441ce61071097d568	34	1
92f8e9506f8db2e297e84de7546fb8e3	34	1
b8fe662f7142d0fd596bf75d5438d10f	33	1
41e6007f597f854c9afde648be0cdc93	33	1
293789a388470f6b82f1201f1c398822	33	1
ab6efbdc8a22b40c687c59bd7202e3f5	33	1
bac9c2ae0a4d2f5f8fa1a3a7bdeb45a4	33	1
63758b0e4f44aced3d54abdfd3c4927a	33	1
ff72ba084bd735cbb5eb8458fafa3e79	33	1
0f9fdb16ed5bcb0a1f9b4bfc09a3a86a	33	1
194346f9b2c2586600d9d7125ccdf3f6	33	1
444ae8cc8a27ff504fb76a25904ed625	33	1
3f59126bc10b0ddbaf17d52e1a6cceaf	33	1
ec6cd5201ab63bdb50a54f62fe38991c	32	1
5ec8d4b7d5c6298e560d0aab3fe54965	32	1
f2b1796d4ffc20802f49134e75e797a4	32	1
d9a74bad40f4617757734f1249740b7d	32	1
fe7db4db96a876318e43da007fbeb2d8	32	1
f6c02a8ff658bb23662a27c46937cf5a	32	3
1d96b6e4cc2ee81198ef54c908e62b05	32	1
beea098dd76fa634a777f04428ac31f5	32	1
3d35138c3db77552c71419b18376b765	31	1
12666df3ebc15b7e3510e08acdb47ef7	31	1
86abe19e9eb77ef00a77786478110760	31	1
12e2df7b772b804e7531f83312c2a7e6	31	1
add2ca4a274230ee418cfb96400190ef	31	1
cb3f313041e27a12a1499c214eafae92	31	1
2fd611821db505ff7407386a2088e02f	31	1
e5a3ae527d8ebbf7f41fb0b844bd9576	30	1
d417efa1fa98bb71dcbf3aa29156c1c1	30	1
7477fe37279b6ecf88e980c311dd3d0a	30	1
58a2e6574e68f6b39c96d0ff0ff717f4	30	1
31a04c47a7b3536c6a290487790ff530	30	1
0a760d3908e29c6d86d5f5e714c3d4f7	30	1
1e7fabd19e50a61e5e636478c6270e6f	30	1
323886ea1e70aff90504c921683ed5f2	30	1
b461be43bd6f99d8dd4e25e1569ca740	29	1
b52800d366187e8f9f0359f5b7dac408	29	1
1a7526102dee1a0f93cadf14239b614b	29	1
18f1ba3927dd1ac541d51d5071341bd8	29	1
d042f5b4126f11d2850a357890ec4091	29	1
294790158a847fcd06c4045c1c9f2857	29	1
51c80729e14f6af031b5801cfa67a650	29	1
6958b02f58fa5f63f3d434b914bcbb32	28	1
901e974501bc591b5115198cd7ef84ef	28	1
5209dc5a24e32228930ad6370bc31855	28	1
a2c78396775619dd28088ab5dd228e91	28	2
61169f3bb2d639761d16726152ddd16d	28	1
9af49b619a6c7743d9cf00c685684f8f	28	1
55b3747f8d47d4b1db78bc46ed0fe7bf	28	1
1cc852a06aa246f25da70124b864e849	28	1
6933245ef144417bb86c317ddb74335a	27	2
fc10fc577c99236d30e87dba41a79fce	27	1
69ceb3c6ebd081368ed381e972be2814	27	1
06be6e769bbd650bc5e1925ea2e99e9d	27	1
e260f27d88b7dc28aac9b9603cdab619	26	1
9ec7312b172c87c74398a1ce52207d3d	26	1
da1657f50810838b332edd86747b8fe6	26	1
13d2fc0fe669e50c60ff9f45567c8d67	25	1
0d669b899a09d6bff5f5b875a076f77e	25	1
4b34254bd0b30449bf18e72fb3ec02df	25	1
cef618c074e48dcbb34d070d9a250ef5	25	1
acdf5f4d7bc09078425b5ebb6a3dc68f	25	1
a45e25f778ec31b009a4e6ee6f8e3476	25	1
00158a3397602e9f7ab74a72799ee3af	25	1
9a450003fabb91c3ec5792c2d06b5c13	24	1
93b1226d31430e58351c305c25b3f487	24	1
62cfa51fdc6a5c0eaa529cc78a97d094	24	1
81ba7af4deb48b30cf86edea8ca27205	24	1
f319ff349b62b3da429a04358dd20fdc	24	1
6e068ea177b126c82977ad19ab81764c	24	1
cd1cb1315c9ebc55c5b658436841fd5e	24	1
a3d11128643144e90d733cfa16a9e5b3	24	1
9c984b9f50bae0105ef9b53ad95e3b99	24	1
a37f66f7028477acaa045d727685defa	23	1
4f3fe0f9e59388afe8d4cc2679f5cc04	23	1
ad4c2d20bb6d2d2cdbc00d0b0c48b843	23	1
05107de49d274a0b6697c538e471a7e6	22	1
a68a8a002394cf3f017c372ac2fd8521	22	1
7c79608af218915f094ae023f565c1b3	22	1
9a05eefdedfcf8b8084e7251fd04c229	22	1
4db507c2a2e6715d5ef2392db292d08e	22	1
84c0681c20a2bad1331dcfcc29444d60	22	1
ce4b6698777ff1d5a2debe8d28e6233a	21	1
40d756d0526644bcd792c49996792ad3	21	1
f58e0eb03623eb6a9e796d93ebe9049a	21	1
fdc2d5ed786d4398d7ad65c9bf12d386	21	1
88924966ec1960bfcd8be768a10c2c86	20	1
1bbf7b7a2d2407a8c499171e697200a8	20	1
1654c5801fe5de89d4fd8efc01e36235	20	1
3ff03ffffcf381b979777e33a2ca579b	20	1
d3ad4b0c03d4761aea2b37cb92afe17d	20	1
30bd5e67175d3c961d1f6fa8e2ae5711	19	1
5c093e12919a03891a46d550f27735c9	19	1
25a63be89dee0c204363530ba2eccbfd	19	1
68c9765d0026807d1c4364f3196bb484	19	1
25c3365b751bd252bf6fb33d27a5b2bb	19	1
51808e6e80a03d75ba62b51080ae20e4	19	1
3539598ed9796d571e3ab036f1f380e9	19	1
effaa046d0713e98c37c99ec7aeeb95d	19	1
76bd232644371249dfb3b9aa13d7d97d	19	1
bca95647bb4d3bc98874a9bb1f8069e5	18	1
13cb3419aade2a94d670b5b41ecff0b7	18	1
89ae6e3dcd7c66af260521d3f190b478	18	1
befca0feb679bbceeabaa2fec9501ae8	18	1
a46cb2f2d14dd19558c454dc8063c091	18	1
2e6d1dd74fad59691c2d39f6f283729a	18	1
b4f45104fcf9307a88164100ec3dddbd	18	1
6c41a172bfff481f37817b30fa7de9cd	17	1
475f0198bf349d82ea16d5ef7c502f95	17	1
beeb82a2a1b7104152618741cd606c7b	17	1
06fcd0a455b723e8f4ba94c23460034b	17	1
ac139836802362170114a9e04ed7d805	17	1
681bfe571056c3853a34a7d05987b61d	17	1
f498f29d03f9179391abbf8f38e25a62	17	1
6fd7e15ae9aff7a48b151ac350f19ad7	17	1
6196cf9e89c4ccde779768a837bb4ff1	16	1
15b0d1e40f72483b3f7cedbe7a9ac508	16	1
a58bbed01857ca020810a88b2a828c50	16	1
f6305ceaeea0b27d52d1735d4e8191e4	16	1
5e3655e5776deece0a92af5a7ab92088	16	1
1a40e9fba6594c1051ebbe1605984cf3	15	2
22fd2ef171fdcb49380efe85ef30f6d4	15	1
4d757fa1fb2c266a3b9e66b3f12c42b9	15	1
55f36e904d159835f56396affea5e1be	15	1
72f25641df0bb4ec1e1a14bb4ab429c3	15	1
88470d9ffd00f9707c7ae7cdc7874767	15	1
f242050780da750f628548c82086df30	15	1
7efc56e082d9399a12b73c190617a6e9	15	1
6dbd33d48b1baa84655501af74e88466	14	1
56ba926edd0e1d2c1690adbb4075298a	14	1
32e2bb464b4df8fba1a56a6dcb280a0f	14	1
29677bcc2c67b24de6fa06232109b806	14	1
436468f4705ae5144e59538c80bc6af6	14	1
12ea14f0bb838cebf8f0a0e565d0b9e0	14	1
8d28d56938afee17a6bb92e81feb22ea	13	1
0fd470ec0e5aa91dee49b97bc8071df8	13	1
dec78bc900d91bd3d202677826690f53	13	1
bb1f6e2e153eebe5f05866ef5865bb7f	13	1
9db2c57be09822102721d73fe06941ab	13	1
da4889643735f488c04243600d548841	13	1
01df053437e45cfe743146064e4a10f6	13	1
3446f7d1fb168ea8c5c2f06fe61c12d0	13	1
8ca5dd435be2ec6b7fdf01517a8082fc	13	1
cd1c00c3cfb000c8d6f5acab5df06bbc	13	1
e8bbfa552e06aa15bce0a44df0ffdacf	12	1
5fe9c0049f983b27a63a27535b4fc0ee	12	1
97c09b974d0442efc7df8984178bab84	12	1
6b4e0e8b691f4cdd30db1e0c896fbb0d	12	1
3f50f6868f13bb92e68d7d4d99b436e3	12	1
443caa2e7d48da4b93bbc59e04c5d96c	12	1
5494826e56f849d4fbaac1dc450456b6	12	1
cdb41fb18a78b7c8126a0f1005c4e561	12	1
dd2148c7b0e9d6b3b0fa193c36db0c1d	12	1
411c01b7e269f43d5cb9389e1e3265ef	12	1
11fb6c22c3fad2401fe14b46217f5e98	12	1
49ca00b6c792e3ec73e2edb06d2e1c35	11	1
49f3ddd03c4015d26a9f1618f75cafbb	11	1
15250b091976483f339ec5bb2f012dad	11	1
fd9b6bb9d4bea13d162ba0ccc1aa5a51	11	1
09731aa268fbe5857b87bb93ce176ec3	10	1
df8121fd52114488c1c4bdadbf0e0225	10	1
515b84a39ed7c6b1595184dc036039c2	10	1
f1eedbbfad6e8509ede605b32bdc97f0	10	1
5a0b37a8ab4464444e2b185830ebddf5	10	1
b193e4469dd1fd2892b922b965cfa51c	10	1
369ecf13bb51592e8a7a9a025cc83d74	9	1
30d4ae37bd6e398af1e1d0f57bf2096f	9	1
d0f76a7df17eb754584ac74c88f38699	9	1
c61731ec3380c79296b344a439808a67	9	1
ae794b43d7374cd2ebbbdbe9024f5399	9	1
d1ff4a4a974ae1be0b44dd9171bfe0e7	9	1
58d1a067ec91e51868e1da0e524955e4	9	1
d7582b90fd40e2fe4092f592994df3b0	9	1
874455b1c02a47eb37c426981d4a3430	9	1
13d882a51ca48786b5782c325d0da521	9	1
eb5ea63d3463b91edd1f727de1a2cb9e	8	1
7e15984ab60fd19c53c292443ffe7bf7	8	1
07b37dbee935e9195b3ef11ca9431be1	8	1
c3b5d438938be9666fbd47a4b005bf21	8	1
ac3b5bef3ad9e13f67a1b64d7a503396	8	1
e44d64360c333719ffc1fa48adaf0ad9	8	1
44855ef160fa98b117720e56f334a63b	8	1
7fbc995de7f4fc56a2bf756602ff1e8f	8	1
d9d62e9406c41ee3e6ec548840922b34	8	1
244a4d6ea72639d572ec2f5e0ed28a85	7	1
1ca09f2a08a34cbbc33e46c59b73e192	7	1
687c40d6d72cdffa2d7f968ab00b1558	7	1
226e679b69cc03866f2ce3ff9d71331b	7	1
6962d37301cdacd69a7bccc8c0d0a15b	7	1
bf9848f59bb07acba37f009aaa7ff199	7	1
58261bf4521e6b47cabb34faa7622f8b	7	1
e2e57be3b858b2b2e1f9866f7b974f4b	7	1
2bc0c6136be86b5127d8829dc45073dc	6	1
d34d83b783ec14531ca137e36bdb2a53	6	1
c90d175cb46e6ed602b7156661b3ee2c	6	1
4ece7ed9a0ad4ade9be3486bfb18396b	6	1
b4bbbbd32c3ce5fcc156f141208199d1	6	1
31cd67b7119f6b6f93dc5c4fbbbe7816	6	1
64275341cb88ecfdfc45609b388b92b1	6	1
bf5ce3b57feb9a1ab904ba73a3b72525	6	1
a652c48e6499ca1b8f1969f50196b9e3	6	1
d91e10aaa8eaa3b6904fbe4a96e55085	6	1
f2a9bf1620e4225c87f262186075a94a	5	1
db5bd069bc2db836815a726843cc2c50	5	1
d9ca13f3740087ee1bd4762963186163	5	1
7c51d16b4c93ad1f51d6bccf71c33df7	5	1
978cbea1b477f326d4dd0b2b8a0c96e2	5	1
12a7b5fae05679e04f0187cf9d8463bd	5	1
252b88237c82473b56d6cb3d76299b5d	5	1
2ec3c6eb9495f8837dd378da3ca83601	5	1
cf2f6f8595712c45006a4cafd29e116e	5	1
c9f9964bbd7dafd9941941f7c1361d77	4	1
9ad8ee31c2c9c3f9926f316a0365d31e	4	1
956407da83a38bf1be1455ef68036ae6	4	1
92fa18c66e94917872416e6fadc3c2ec	4	1
9564932712643f8463078a8be9fc28be	4	1
64b7296d935ef05e52228af61eca6296	4	1
d708e0c6bf4db322ff1cab7f24186c7a	4	1
e256fb309a7809150ed709cbed5baa7b	4	1
65794609a5cc9dc36cef3fa66571c61e	3	1
89a3836722c2fd6d88960aa79daf2cbb	3	1
a538ee7f531883592319d6dc32b8394c	3	1
b6cd7eeed881b6c7ac5274dd56326cb4	3	1
34b67983bd2115757f0e6b1260016b5c	2	1
