
Frequency	# of Samples Observed In
ead35ac7e33675477cb02ec429e1acbb	309	4
fb9cfc176b97c9ac310a0146fa874f57	308	1
bba7edf76da92f90edfb646a284dbac4	306	2
94bdf2e3bf7edc2233be7a462f38320c	304	2
dacde46abd7e2190bd80b62ad334aca2	297	3
876433f6a8215249b2a3659261996f08	293	1
62f493de430b9aa6af24c76ba546b353	289	1
7d23e520229ff19ae75332718e375648	286	1
f83ff833bc5ab3f091044638032e75a3	286	1
64b27ca6ec480a5275f99ae66ff275e6	277	1
c51199d8e5066ae5408174aeb967c810	275	4
9fd14f2c4acc641fa9d760dade450eec	275	3
9b2962afb824379f9f9b6f1eb3546892	274	1
9b36d0a5a73db69c4f4ed8c9899ba29a	273	3
f89b91ed2815361a94dc91354c30b540	264	6
e7864953e069f50a6d5043fbde433a46	262	1
fc144e7cf764a7666e8b483e443a3423	261	2
24437c6f5249e9623c1a278d6c8e0e35	261	1
90cfed8a3a6bddfaecdf516e1c47bacc	259	1
7e7db6588dddba68f91dc1a0f955c26d	258	1
d84169817032ff98166de51abd5eee90	256	2
1aa1381d659338e927620c4795f45d63	254	2
b7f7d3c3a6acd9bb71c01bbabb441195	243	1
91c4031302a3698b98c3114b2c6962b7	242	4
0ca7286f21d49f4d0c14d5dd0f518032	242	2
b9416ad3b2baa08217ae02af02824322	240	1
428ac47479ccefdc3da96b23284a850c	239	1
4554d1726cb4fe062e8d56da031f1d22	230	1
d520958fb250148e993213b25bd3d8c4	230	1
48c6265e3dbe001ad2673d670b00f916	229	1
f3e9481470e0bc0392e64bba81570a37	227	1
11712f6a5c932fb5ef9e0771155d1526	226	2
996af72594aa187a5acde6d7d04ce212	225	1
9d0b9b574fa07f8b7c41cc24740bfaf9	221	1
b6d886aeeb71a286a51f59c037ee712d	220	4
0be6da13a3c85b56e2625afff816ba0a	216	2
c9b78199e5a987dac4642e0a9c4690bd	215	1
e18b4465b5c608dbde648c837fab4a75	214	1
5007bb2c33cd33f0422cf2da4b4fbf66	212	1
00b802bfac239ed50f9366d2af73413a	212	1
dd5b8d90d79b0abe3e09da154871fe62	211	2
48953f6b4235c86d19c7ee72f4ab179f	211	1
dad04638d94bb001e803fa2bc76ab02e	210	1
8012e70d80cebc7bf34225b401c71714	210	1
dd32078430dd8d21a46711cb246b347f	209	2
b18597d6f19048cde25106995219abee	208	1
816a8f2c7f09338d3a0b28d92fdd9062	207	1
329ed745f5a7a59e58a1664fc18107a0	207	1
6e360967db92d3e827699fd971ba050d	203	2
fa7cdd428b4d12a0e0a79192ecdeafd6	203	1
8b8c62a05cedc2a8dac635ceccb79a74	203	1
2771bb5677463c05d9ecadb806f3738b	202	1
abac5d9d0d7752dc80b5c8167454aec3	200	4
6c41dbc72bc5fef4ba78208b5dd9c405	196	1
