index,Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina elongata,Chordata;Actinopteri;Blenniiformes;Tripterygiidae;Forsterygion;Forsterygion lapillum,Chordata;Actinopteri;Centrarchiformes;Cheilodactylidae;__;__,Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis,Chordata;Actinopteri;Cichliformes;Cichlidae;Tylochromis;Tylochromis leonensis,Chordata;Actinopteri;Clupeiformes;Clupeidae;Sprattus;Sprattus antipodum,Chordata;Actinopteri;Clupeiformes;Clupeidae;Sprattus;Sprattus muelleri,Chordata;Actinopteri;Gadiformes;Gadidae;Micromesistius;Micromesistius poutassou,Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus aspercephalus,Chordata;Actinopteri;Gadiformes;Moridae;Antimora;Antimora rostrata,Chordata;Actinopteri;Gadiformes;Moridae;Auchenoceros;Auchenoceros punctatus,Chordata;Actinopteri;Gadiformes;Moridae;Lepidion;Lepidion capensis,Chordata;Actinopteri;Gadiformes;Moridae;Mora;Mora moro,Chordata;Actinopteri;Gadiformes;Moridae;Pseudophycis;Pseudophycis bachus,Chordata;Actinopteri;Gadiformes;Moridae;Pseudophycis;Pseudophycis barbata,Chordata;Actinopteri;Labriformes;Labridae;Notolabrus;Notolabrus fucicola,Chordata;Actinopteri;Labriformes;Labridae;Pseudolabrus;Pseudolabrus miles,Chordata;Actinopteri;NA;Emmelichthyidae;Emmelichthys;Emmelichthys nitidus,Chordata;Actinopteri;NA;Emmelichthyidae;__;__,Chordata;Actinopteri;NA;__;__;__,Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Genypterus;__,Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;__,Chordata;Actinopteri;Perciformes;Sebastidae;__;__,Chordata;Actinopteri;Perciformes;Triglidae;Lepidotrigla;Lepidotrigla papilio,Chordata;Actinopteri;Perciformes;__;__;__,Chordata;Actinopteri;Percophidae;Hemerocoetes;Hemerocoetes homeseqclus1;__,Chordata;Actinopteri;Percophidae;Hemerocoetes;Hemerocoetes homeseqclus2;__,Chordata;Actinopteri;Percophidae;Hemerocoetes;Hemerocoetes homeseqclus3;__,Chordata;Actinopteri;Percophidae;Hemerocoetes;Hemerocoetes homeseqclus4;__,Chordata;Actinopteri;Scombriformes;Centrolophidae;Schedophilus;Schedophilus velaini,Chordata;Actinopteri;Scombriformes;Centrolophidae;Seriolella;Seriolella brama,Chordata;Actinopteri;Scombriformes;Centrolophidae;Seriolella;__,Chordata;Actinopteri;Scombriformes;Centrolophidae;__;__,Chordata;Actinopteri;Scombriformes;Gempylidae;Thyrsites;Thyrsites atun,Chordata;Actinopteri;Scorpaeniformes;Congiopodidae;Congiopodus;__,Chordata;Actinopteri;Syngnathiformes;Centriscidae;Macroramphosus;Macroramphosus scolopax,Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Hippocampus;Hippocampus abdominalis,Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Vanacampus;Vanacampus margaritifer,Chordata;Actinopteri;Trachiniformes;Pinguipedidae;Parapercis;Parapercis colias,Chordata;Actinopteri;Uranoscopiformes;Pinguipedidae;Parapercis;Parapercis allporti,Chordata;Actinopteri;Uranoscopiformes;Uranoscopidae;Kathetostoma;Kathetostoma giganteum,Date,Samplequality,Breedingregion,Breedinglocation,Nestnumber,IndividualID,Ageclass,Statusof_bird1617,Time,Sex
S150,1130.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,15.0,0.0,11302.0,0.0,0.0,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Guard,U
S151,8.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,25.0,0.0,59.0,0.0,0.0,33.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,2996.0,0.0,0.0,8/06/17,Latrine,Catlins,Long_Point,MY10,NA,Adult,Breeding,Post-moult,U
S152,244.0,0.0,380.0,0.0,0.0,53.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3123.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,9794.0,0.0,0.0,13/12/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Post-guard,U
S153,0.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,2997.0,0.0,0.0,8/06/17,Latrine,Catlins,Long_Point,MY10,NA,Adult,Breeding,Post-moult,U
S155,247.0,0.0,3.0,0.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,443.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,194.0,11.0,8.0,0.0,5721.0,0.0,0.0,13/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Adult,Breeding,Guard,U
S156,3114.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4744.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,3337.0,0.0,0.0,0.0,5224.0,0.0,0.0,18/12/16,Latrine,Otago_Peninsula,Aramoana,MY2,NA,Adult,Breeding,Post-guard,U
S158,138.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,39.0,24.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,0.0,247.0,17.0,206.0,739.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,2102.0,0.0,0.0,19/12/16,Latrine,Catlins,Penguin_Bay,RR5,NA,Chick,Breeding,Post-guard,U
S159,119.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2207.0,29.0,0.0,64.0,0.0,79.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,16404.0,0.0,0.0,1/11/16,Latrine,North_Otago,Bobby's_Head,TAV1,NA,Chick,Breeding,Guard,U
S16,4649.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,1786.0,0.0,0.0,0.0,3576.0,0.0,0.0,19/04/17,Latrine,North_Otago,Katiki_Point,NA,NA,Adult,Unknown,Post-moult,U
S160,115.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,146.0,0.0,48.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6218.0,0.0,0.0,29/11/16,Latrine,Otago_Peninsula,Aramoana,MY1,NA,Chick,Breeding,Guard,U
S161,43.0,0.0,56.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,87.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,6.0,0.0,198.0,437.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3403.0,113.0,0.0,18/12/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Post-guard,U
S163,8.0,0.0,3.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,539.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,557.0,0.0,572.0,8343.0,0.0,5.0,9/11/16,Latrine,Otago_Peninsula,Otapahi,OT3,NA,Chick,Breeding,Guard,U
S164,83.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,294.0,10.0,534.0,36.0,3124.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,386.0,3068.0,63.0,3254.0,0.0,0.0,0.0,30.0,145.0,28.0,318.0,38.0,0.0,44.0,18/11/16,Latrine,Catlins,Penguin_Bay,RR5,NA,Chick,Breeding,Guard,U
