sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-445_iter-1,depth-445_iter-2,depth-445_iter-3,depth-445_iter-4,depth-445_iter-5,depth-445_iter-6,depth-445_iter-7,depth-445_iter-8,depth-445_iter-9,depth-445_iter-10,depth-889_iter-1,depth-889_iter-2,depth-889_iter-3,depth-889_iter-4,depth-889_iter-5,depth-889_iter-6,depth-889_iter-7,depth-889_iter-8,depth-889_iter-9,depth-889_iter-10,depth-1334_iter-1,depth-1334_iter-2,depth-1334_iter-3,depth-1334_iter-4,depth-1334_iter-5,depth-1334_iter-6,depth-1334_iter-7,depth-1334_iter-8,depth-1334_iter-9,depth-1334_iter-10,depth-1778_iter-1,depth-1778_iter-2,depth-1778_iter-3,depth-1778_iter-4,depth-1778_iter-5,depth-1778_iter-6,depth-1778_iter-7,depth-1778_iter-8,depth-1778_iter-9,depth-1778_iter-10,depth-2222_iter-1,depth-2222_iter-2,depth-2222_iter-3,depth-2222_iter-4,depth-2222_iter-5,depth-2222_iter-6,depth-2222_iter-7,depth-2222_iter-8,depth-2222_iter-9,depth-2222_iter-10,depth-2667_iter-1,depth-2667_iter-2,depth-2667_iter-3,depth-2667_iter-4,depth-2667_iter-5,depth-2667_iter-6,depth-2667_iter-7,depth-2667_iter-8,depth-2667_iter-9,depth-2667_iter-10,depth-3111_iter-1,depth-3111_iter-2,depth-3111_iter-3,depth-3111_iter-4,depth-3111_iter-5,depth-3111_iter-6,depth-3111_iter-7,depth-3111_iter-8,depth-3111_iter-9,depth-3111_iter-10,depth-3555_iter-1,depth-3555_iter-2,depth-3555_iter-3,depth-3555_iter-4,depth-3555_iter-5,depth-3555_iter-6,depth-3555_iter-7,depth-3555_iter-8,depth-3555_iter-9,depth-3555_iter-10,depth-4000_iter-1,depth-4000_iter-2,depth-4000_iter-3,depth-4000_iter-4,depth-4000_iter-5,depth-4000_iter-6,depth-4000_iter-7,depth-4000_iter-8,depth-4000_iter-9,depth-4000_iter-10,Subject,BodySite,DaysSinceExperimentStart
S4,1,1,1,1,1,1,1,1,1,1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
S40,1,1,1,1,1,1,1,1,1,1,43.0,42.0,39.0,41.0,41.0,40.0,42.0,41.0,38.0,42.0,44.0,42.0,43.0,40.0,45.0,42.0,43.0,45.0,43.0,44.0,44.0,45.0,44.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,44.0,44.0,45.0,44.0,44.0,45.0,43.0,44.0,45.0,44.0,45.0,44.0,45.0,45.0,45.0,44.0,45.0,44.0,45.0,45.0,45.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,NA,NA,NA
S41,1,1,1,1,1,1,1,1,1,1,31.0,31.0,31.0,31.0,32.0,32.0,35.0,32.0,33.0,28.0,37.0,36.0,36.0,36.0,34.0,33.0,36.0,38.0,36.0,34.0,36.0,37.0,35.0,37.0,38.0,39.0,39.0,36.0,37.0,37.0,38.0,38.0,38.0,38.0,36.0,38.0,37.0,37.0,37.0,38.0,39.0,36.0,38.0,40.0,38.0,38.0,40.0,37.0,38.0,39.0,39.0,39.0,39.0,38.0,38.0,39.0,40.0,38.0,39.0,39.0,38.0,38.0,39.0,40.0,39.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,37.0,39.0,38.0,39.0,38.0,39.0,39.0,39.0,40.0,38.0,39.0,40.0,40.0,40.0,38.0,39.0,39.0,40.0,NA,NA,NA
S42,1,1,1,1,1,1,1,1,1,1,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
S43,1,1,1,1,1,1,1,1,1,1,55.0,56.0,52.0,55.0,54.0,53.0,56.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,57.0,56.0,56.0,56.0,57.0,56.0,56.0,55.0,56.0,57.0,57.0,56.0,56.0,57.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,57.0,57.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,57.0,57.0,56.0,57.0,56.0,57.0,57.0,57.0,56.0,57.0,57.0,56.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,56.0,NA,NA,NA
S44,1,1,1,1,1,1,1,1,1,1,20.0,20.0,21.0,19.0,21.0,22.0,23.0,20.0,23.0,20.0,21.0,24.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,22.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,NA,NA,NA
S45,1,1,1,1,1,1,1,1,1,1,27.0,27.0,28.0,26.0,27.0,26.0,28.0,26.0,29.0,28.0,27.0,28.0,27.0,29.0,28.0,28.0,28.0,29.0,28.0,28.0,29.0,30.0,28.0,30.0,28.0,29.0,29.0,30.0,28.0,28.0,30.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0,28.0,28.0,29.0,30.0,28.0,30.0,30.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0,30.0,28.0,30.0,28.0,30.0,29.0,29.0,30.0,30.0,30.0,28.0,28.0,29.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0,29.0,30.0,30.0,29.0,NA,NA,NA
S46,1,1,1,1,1,1,1,1,1,1,44.0,46.0,45.0,45.0,42.0,46.0,44.0,44.0,43.0,45.0,47.0,47.0,46.0,46.0,46.0,48.0,46.0,48.0,48.0,46.0,48.0,48.0,48.0,48.0,47.0,48.0,48.0,47.0,47.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,48.0,48.0,48.0,47.0,48.0,48.0,47.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0,48.0,47.0,47.0,48.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,NA,NA,NA
S47,1,1,1,1,1,1,1,1,1,1,25.0,24.0,24.0,24.0,23.0,25.0,23.0,24.0,24.0,25.0,25.0,24.0,24.0,25.0,24.0,25.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,NA,NA,NA
S48,1,1,1,1,1,1,1,1,1,1,36.0,36.0,34.0,37.0,37.0,35.0,36.0,37.0,37.0,37.0,38.0,38.0,40.0,40.0,39.0,39.0,39.0,38.0,37.0,38.0,39.0,38.0,39.0,41.0,38.0,40.0,39.0,40.0,38.0,40.0,40.0,40.0,39.0,39.0,39.0,38.0,39.0,40.0,39.0,39.0,40.0,41.0,40.0,40.0,40.0,40.0,41.0,40.0,40.0,40.0,41.0,40.0,40.0,40.0,41.0,40.0,40.0,40.0,39.0,40.0,41.0,41.0,41.0,40.0,41.0,41.0,39.0,40.0,41.0,39.0,40.0,40.0,39.0,41.0,40.0,40.0,41.0,40.0,41.0,40.0,40.0,41.0,40.0,41.0,40.0,41.0,41.0,40.0,41.0,41.0,NA,NA,NA
